hour_of_the_year;hour_of_the_day;day;pv_generation
601;1;26;0.0
602;2;26;0.0
603;3;26;0.0
604;4;26;0.0
605;5;26;0.0
606;6;26;0.0
607;7;26;0.0
608;8;26;0.167
609;9;26;0.603
610;10;26;1.221
611;11;26;1.901
612;12;26;2.016
613;13;26;1.673
614;14;26;1.183
615;15;26;0.689
616;16;26;0.126
617;17;26;0.0
618;18;26;0.0
619;19;26;0.0
620;20;26;0.0
621;21;26;0.0
622;22;26;0.0
623;23;26;0.0
624;24;26;0.0
