hour_of_the_year;hour_of_the_day;day;pv_generation
6553;1;274;0.0
6554;2;274;0.0
6555;3;274;0.0
6556;4;274;0.0
6557;5;274;0.0
6558;6;274;0.035
6559;7;274;1.483
6560;8;274;3.522
6561;9;274;5.158
6562;10;274;6.236
6563;11;274;6.69
6564;12;274;6.454
6565;13;274;5.886
6566;14;274;5.357
6567;15;274;4.421
6568;16;274;2.593
6569;17;274;0.684
6570;18;274;0.0
6571;19;274;0.0
6572;20;274;0.0
6573;21;274;0.0
6574;22;274;0.0
6575;23;274;0.0
6576;24;274;0.0
