hour_of_the_year;hour_of_the_day;day;pv_generation
8425;1;352;0.0
8426;2;352;0.0
8427;3;352;0.0
8428;4;352;0.0
8429;5;352;0.0
8430;6;352;0.0
8431;7;352;0.0
8432;8;352;0.106
8433;9;352;0.994
8434;10;352;2.013
8435;11;352;2.661
8436;12;352;3.22
8437;13;352;3.706
8438;14;352;3.323
8439;15;352;1.64
8440;16;352;0.03
8441;17;352;0.0
8442;18;352;0.0
8443;19;352;0.0
8444;20;352;0.0
8445;21;352;0.0
8446;22;352;0.0
8447;23;352;0.0
8448;24;352;0.0
