hour_of_the_year;hour_of_the_day;day;pv_generation
5185;1;217;0.0
5186;2;217;0.0
5187;3;217;0.0
5188;4;217;0.0
5189;5;217;0.08
5190;6;217;0.322
5191;7;217;1.111
5192;8;217;2.526
5193;9;217;3.671
5194;10;217;4.675
5195;11;217;4.443
5196;12;217;5.046
5197;13;217;6.064
5198;14;217;5.651
5199;15;217;4.637
5200;16;217;2.922
5201;17;217;1.53
5202;18;217;0.442
5203;19;217;0.017
5204;20;217;0.0
5205;21;217;0.0
5206;22;217;0.0
5207;23;217;0.0
5208;24;217;0.0
