hour_of_the_year;hour_of_the_day;day;pv_generation
5137;1;215;0.0
5138;2;215;0.0
5139;3;215;0.0
5140;4;215;0.0
5141;5;215;0.174
5142;6;215;0.894
5143;7;215;2.362
5144;8;215;3.966
5145;9;215;5.273
5146;10;215;6.086
5147;11;215;6.605
5148;12;215;6.315
5149;13;215;5.772
5150;14;215;4.931
5151;15;215;3.855
5152;16;215;2.883
5153;17;215;1.572
5154;18;215;0.5
5155;19;215;0.021
5156;20;215;0.0
5157;21;215;0.0
5158;22;215;0.0
5159;23;215;0.0
5160;24;215;0.0
