hour_of_the_year;hour_of_the_day;day;pv_generation
5353;1;224;0.0
5354;2;224;0.0
5355;3;224;0.0
5356;4;224;0.0
5357;5;224;0.025
5358;6;224;0.383
5359;7;224;1.042
5360;8;224;1.749
5361;9;224;2.504
5362;10;224;2.883
5363;11;224;2.606
5364;12;224;2.902
5365;13;224;2.936
5366;14;224;2.347
5367;15;224;1.599
5368;16;224;0.844
5369;17;224;0.276
5370;18;224;0.068
5371;19;224;0.0
5372;20;224;0.0
5373;21;224;0.0
5374;22;224;0.0
5375;23;224;0.0
5376;24;224;0.0
