hour_of_the_year;hour_of_the_day;day;pv_generation
3553;1;149;0.0
3554;2;149;0.0
3555;3;149;0.0
3556;4;149;0.0
3557;5;149;0.034
3558;6;149;0.215
3559;7;149;0.58
3560;8;149;1.295
3561;9;149;2.009
3562;10;149;3.26
3563;11;149;4.231
3564;12;149;4.387
3565;13;149;4.258
3566;14;149;3.646
3567;15;149;2.836
3568;16;149;1.744
3569;17;149;0.989
3570;18;149;0.432
3571;19;149;0.055
3572;20;149;0.0
3573;21;149;0.0
3574;22;149;0.0
3575;23;149;0.0
3576;24;149;0.0
