hour_of_the_year;hour_of_the_day;day;pv_generation
2065;1;87;0.0
2066;2;87;0.0
2067;3;87;0.0
2068;4;87;0.0
2069;5;87;0.0
2070;6;87;0.235
2071;7;87;2.219
2072;8;87;4.403
2073;9;87;6.176
2074;10;87;7.267
2075;11;87;7.802
2076;12;87;7.963
2077;13;87;7.596
2078;14;87;6.736
2079;15;87;5.337
2080;16;87;3.453
2081;17;87;1.262
2082;18;87;0.022
2083;19;87;0.0
2084;20;87;0.0
2085;21;87;0.0
2086;22;87;0.0
2087;23;87;0.0
2088;24;87;0.0
