hour_of_the_year;hour_of_the_day;day;pv_generation
3169;1;133;0.0
3170;2;133;0.0
3171;3;133;0.0
3172;4;133;0.0
3173;5;133;0.195
3174;6;133;1.006
3175;7;133;2.595
3176;8;133;4.493
3177;9;133;5.648
3178;10;133;6.478
3179;11;133;6.751
3180;12;133;7.069
3181;13;133;6.983
3182;14;133;6.439
3183;15;133;5.295
3184;16;133;3.71
3185;17;133;2.07
3186;18;133;0.458
3187;19;133;0.055
3188;20;133;0.0
3189;21;133;0.0
3190;22;133;0.0
3191;23;133;0.0
3192;24;133;0.0
