hour_of_the_year;hour_of_the_day;day;pv_generation
2449;1;103;0.0
2450;2;103;0.0
2451;3;103;0.0
2452;4;103;0.0
2453;5;103;0.0
2454;6;103;0.578
2455;7;103;2.521
2456;8;103;4.52
2457;9;103;5.853
2458;10;103;6.639
2459;11;103;6.942
2460;12;103;6.697
2461;13;103;5.731
2462;14;103;4.584
2463;15;103;3.148
2464;16;103;1.796
2465;17;103;0.595
2466;18;103;0.06
2467;19;103;0.0
2468;20;103;0.0
2469;21;103;0.0
2470;22;103;0.0
2471;23;103;0.0
2472;24;103;0.0
