hour_of_the_year;hour_of_the_day;day;pv_generation
7993;1;334;0.0
7994;2;334;0.0
7995;3;334;0.0
7996;4;334;0.0
7997;5;334;0.0
7998;6;334;0.0
7999;7;334;0.0
8000;8;334;0.408
8001;9;334;2.185
8002;10;334;4.269
8003;11;334;5.481
8004;12;334;5.913
8005;13;334;5.838
8006;14;334;4.838
8007;15;334;3.161
8008;16;334;0.332
8009;17;334;0.0
8010;18;334;0.0
8011;19;334;0.0
8012;20;334;0.0
8013;21;334;0.0
8014;22;334;0.0
8015;23;334;0.0
8016;24;334;0.0
