hour_of_the_year;hour_of_the_day;day;pv_generation
1753;1;74;0.0
1754;2;74;0.0
1755;3;74;0.0
1756;4;74;0.0
1757;5;74;0.0
1758;6;74;0.0
1759;7;74;0.148
1760;8;74;0.59
1761;9;74;1.077
1762;10;74;1.267
1763;11;74;1.307
1764;12;74;1.215
1765;13;74;0.927
1766;14;74;0.732
1767;15;74;0.552
1768;16;74;0.293
1769;17;74;0.039
1770;18;74;0.0
1771;19;74;0.0
1772;20;74;0.0
1773;21;74;0.0
1774;22;74;0.0
1775;23;74;0.0
1776;24;74;0.0
