hour_of_the_year;hour_of_the_day;day;pv_generation
4177;1;175;0.0
4178;2;175;0.0
4179;3;175;0.0
4180;4;175;0.012
4181;5;175;0.313
4182;6;175;1.128
4183;7;175;2.863
4184;8;175;4.487
4185;9;175;5.78
4186;10;175;6.685
4187;11;175;7.178
4188;12;175;7.279
4189;13;175;7.009
4190;14;175;6.354
4191;15;175;5.314
4192;16;175;3.91
4193;17;175;2.24
4194;18;175;0.625
4195;19;175;0.188
4196;20;175;0.0
4197;21;175;0.0
4198;22;175;0.0
4199;23;175;0.0
4200;24;175;0.0
