hour_of_the_year;hour_of_the_day;day;pv_generation
4441;1;186;0.0
4442;2;186;0.0
4443;3;186;0.0
4444;4;186;0.005
4445;5;186;0.356
4446;6;186;1.048
4447;7;186;2.452
4448;8;186;4.097
4449;9;186;5.107
4450;10;186;5.937
4451;11;186;6.413
4452;12;186;6.806
4453;13;186;6.67
4454;14;186;6.089
4455;15;186;5.113
4456;16;186;3.704
4457;17;186;2.175
4458;18;186;0.707
4459;19;186;0.196
4460;20;186;0.0
4461;21;186;0.0
4462;22;186;0.0
4463;23;186;0.0
4464;24;186;0.0
