hour_of_the_year;hour_of_the_day;day;pv_generation
8665;1;362;0.0
8666;2;362;0.0
8667;3;362;0.0
8668;4;362;0.0
8669;5;362;0.0
8670;6;362;0.0
8671;7;362;0.0
8672;8;362;0.746
8673;9;362;3.258
8674;10;362;5.027
8675;11;362;5.785
8676;12;362;6.013
8677;13;362;5.609
8678;14;362;4.479
8679;15;362;2.439
8680;16;362;0.089
8681;17;362;0.0
8682;18;362;0.0
8683;19;362;0.0
8684;20;362;0.0
8685;21;362;0.0
8686;22;362;0.0
8687;23;362;0.0
8688;24;362;0.0
