hour_of_the_year;hour_of_the_day;day;pv_generation
4369;1;183;0.0
4370;2;183;0.0
4371;3;183;0.0
4372;4;183;0.0
4373;5;183;0.275
4374;6;183;0.835
4375;7;183;1.814
4376;8;183;3.003
4377;9;183;4.536
4378;10;183;5.918
4379;11;183;6.228
4380;12;183;5.698
4381;13;183;5.131
4382;14;183;4.625
4383;15;183;4.038
4384;16;183;3.165
4385;17;183;1.848
4386;18;183;0.826
4387;19;183;0.208
4388;20;183;0.0
4389;21;183;0.0
4390;22;183;0.0
4391;23;183;0.0
4392;24;183;0.0
