hour_of_the_year;hour_of_the_day;day;electricity_consumption
4609;1;193;0.2240865
4610;2;193;0.18823575
4611;3;193;0.18885825
4612;4;193;0.187571
4613;5;193;0.168697
4614;6;193;0.19062225
4615;7;193;0.21640075
4616;8;193;0.19611925
4617;9;193;0.1939315
4618;10;193;0.189701
4619;11;193;0.18476825
4620;12;193;0.1993825
4621;13;193;0.35007275
4622;14;193;0.3183635
4623;15;193;0.24582425
4624;16;193;0.213826
4625;17;193;0.65091275
4626;18;193;0.51302425
4627;19;193;0.7886725
4628;20;193;0.36699675
4629;21;193;0.3856625
4630;22;193;0.719577
4631;23;193;0.50199975
4632;24;193;0.31552275
