hour_of_the_year;hour_of_the_day;day;electricity_consumption
1345;1;57;0.504325
1346;2;57;0.48792525
1347;3;57;0.48098
1348;4;57;0.31637975
1349;5;57;0.5565955
1350;6;57;0.5079825
1351;7;57;0.524221
1352;8;57;0.49231725
1353;9;57;0.50637825
1354;10;57;0.5145215
1355;11;57;1.088502
1356;12;57;1.18578075
1357;13;57;1.094938
1358;14;57;1.09713275
1359;15;57;1.3097305
1360;16;57;0.497558
1361;17;57;0.5558805
1362;18;57;0.6049925
1363;19;57;0.70694875
1364;20;57;1.256455
1365;21;57;0.626489
1366;22;57;0.5291285
1367;23;57;0.52028725
1368;24;57;0.49226725
