hour_of_the_year;hour_of_the_day;day;electricity_consumption
1897;1;80;0.390223
1898;2;80;0.27802025
1899;3;80;0.284278
1900;4;80;0.30511375
1901;5;80;0.37592025
1902;6;80;0.28194
1903;7;80;0.331211
1904;8;80;0.27698375
1905;9;80;0.33388675
1906;10;80;0.3522795
1907;11;80;0.30472475
1908;12;80;0.50546475
1909;13;80;0.32032075
1910;14;80;0.4775935
1911;15;80;0.4922395
1912;16;80;0.32322975
1913;17;80;0.265671
1914;18;80;0.28531325
1915;19;80;0.60834
1916;20;80;0.32694875
1917;21;80;0.39619025
1918;22;80;0.47568575
1919;23;80;0.47784775
1920;24;80;0.6019805
