hour_of_the_year;hour_of_the_day;day;electricity_consumption
5905;1;247;0.20180175
5906;2;247;0.21486875
5907;3;247;0.19370775
5908;4;247;0.194664
5909;5;247;0.19644
5910;6;247;0.196476
5911;7;247;0.19849025
5912;8;247;0.19733575
5913;9;247;0.19798425
5914;10;247;0.2047015
5915;11;247;0.73708625
5916;12;247;0.228445
5917;13;247;0.182307
5918;14;247;0.201807
5919;15;247;0.275488
5920;16;247;0.25616825
5921;17;247;0.29179425
5922;18;247;0.51743075
5923;19;247;0.60532875
5924;20;247;0.433074
5925;21;247;0.487176
5926;22;247;0.52718925
5927;23;247;0.57299125
5928;24;247;0.78970825
