hour_of_the_year;hour_of_the_day;day;electricity_consumption
3625;1;152;0.1939855
3626;2;152;0.19917575
3627;3;152;0.19831975
3628;4;152;0.196557
3629;5;152;0.1967875
3630;6;152;0.20029925
3631;7;152;0.18429725
3632;8;152;0.18920175
3633;9;152;0.1923335
3634;10;152;0.20770525
3635;11;152;0.18624275
3636;12;152;0.52370125
3637;13;152;0.71000275
3638;14;152;0.33075975
3639;15;152;0.77348575
3640;16;152;0.22885125
3641;17;152;0.45859225
3642;18;152;0.49533
3643;19;152;0.58261175
3644;20;152;0.3844655
3645;21;152;0.649176
3646;22;152;0.4484865
3647;23;152;0.23580825
3648;24;152;0.38599425
