hour_of_the_year;hour_of_the_day;day;electricity_consumption
2857;1;120;0.21494725
2858;2;120;0.19853675
2859;3;120;0.193651
2860;4;120;0.19660125
2861;5;120;0.2493195
2862;6;120;0.200402
2863;7;120;0.17455025
2864;8;120;0.1750975
2865;9;120;0.190898
2866;10;120;0.178405
2867;11;120;0.1911565
2868;12;120;0.20151025
2869;13;120;0.20544075
2870;14;120;0.19506625
2871;15;120;0.1871545
2872;16;120;0.17633375
2873;17;120;0.283845
2874;18;120;0.36515425
2875;19;120;0.55610725
2876;20;120;0.51635325
2877;21;120;0.397446
2878;22;120;0.40114925
2879;23;120;0.58789425
2880;24;120;0.58491125
