hour_of_the_year;hour_of_the_day;day;electricity_consumption
4657;1;195;0.191923
4658;2;195;0.19455675
4659;3;195;0.1964785
4660;4;195;0.249014
4661;5;195;0.21262675
4662;6;195;0.17761875
4663;7;195;0.2236245
4664;8;195;0.20810025
4665;9;195;0.641685
4666;10;195;0.19535975
4667;11;195;0.19437325
4668;12;195;0.2803295
4669;13;195;1.52332275
4670;14;195;1.03169375
4671;15;195;0.5539715
4672;16;195;0.8895465
4673;17;195;0.4055155
4674;18;195;0.565364
4675;19;195;0.49938975
4676;20;195;0.3472415
4677;21;195;0.6782385
4678;22;195;0.82507725
4679;23;195;0.407073
4680;24;195;0.38950775
