hour_of_the_year;hour_of_the_day;day;electricity_consumption
4393;1;184;0.442739
4394;2;184;0.398527
4395;3;184;0.3898945
4396;4;184;0.2489415
4397;5;184;0.19695525
4398;6;184;0.20020475
4399;7;184;0.2496265
4400;8;184;0.19187
4401;9;184;0.19395375
4402;10;184;0.19626425
4403;11;184;0.19303425
4404;12;184;0.950016
4405;13;184;0.42861725
4406;14;184;0.26039275
4407;15;184;0.22950175
4408;16;184;0.337502
4409;17;184;0.26077075
4410;18;184;0.3451435
4411;19;184;1.2171
4412;20;184;1.054399
4413;21;184;0.4567395
4414;22;184;0.290004
4415;23;184;0.31962775
4416;24;184;0.41798625
