hour_of_the_year;hour_of_the_day;day;electricity_consumption
265;1;12;0.271444
266;2;12;0.30002875
267;3;12;0.2818295
268;4;12;0.28512575
269;5;12;0.28057125
270;6;12;0.316595
271;7;12;0.412482
272;8;12;0.40938025
273;9;12;0.30903225
274;10;12;0.291895
275;11;12;0.2696295
276;12;12;0.27061025
277;13;12;0.289762
278;14;12;0.3410765
279;15;12;0.56233125
280;16;12;0.64200875
281;17;12;0.4966955
282;18;12;0.5014245
283;19;12;0.37537425
284;20;12;1.20901275
285;21;12;0.436723
286;22;12;0.4311475
287;23;12;0.37081775
288;24;12;0.29835875
