hour_of_the_year;hour_of_the_day;day;electricity_consumption
4849;1;203;0.18572475
4850;2;203;0.1886495
4851;3;203;0.1856535
4852;4;203;0.177764
4853;5;203;0.199726
4854;6;203;0.2050205
4855;7;203;0.2095105
4856;8;203;0.2918955
4857;9;203;0.1951005
4858;10;203;0.1928695
4859;11;203;0.17754125
4860;12;203;0.19214875
4861;13;203;0.535339
4862;14;203;0.418137
4863;15;203;0.412631
4864;16;203;0.363854
4865;17;203;0.19520875
4866;18;203;0.1960065
4867;19;203;0.24386575
4868;20;203;0.41067725
4869;21;203;0.38667325
4870;22;203;0.33790975
4871;23;203;0.3609765
4872;24;203;0.23720625
