hour_of_the_year;hour_of_the_day;day;electricity_consumption
3841;1;161;0.173902
3842;2;161;0.17712175
3843;3;161;0.20859975
3844;4;161;0.18924025
3845;5;161;0.2092715
3846;6;161;0.275004
3847;7;161;0.22830075
3848;8;161;0.20262425
3849;9;161;0.17287675
3850;10;161;0.63384275
3851;11;161;0.65379375
3852;12;161;0.4747675
3853;13;161;0.169999
3854;14;161;0.23552575
3855;15;161;0.23670375
3856;16;161;0.19372175
3857;17;161;0.29289375
3858;18;161;0.33214725
3859;19;161;0.51202925
3860;20;161;0.71390175
3861;21;161;0.9472675
3862;22;161;0.29588025
3863;23;161;0.3133025
3864;24;161;0.3099705
