hour_of_the_year;hour_of_the_day;day;electricity_consumption
8353;1;349;0.2944815
8354;2;349;0.282561
8355;3;349;0.28225325
8356;4;349;0.25814425
8357;5;349;0.275969
8358;6;349;0.285705
8359;7;349;0.3306215
8360;8;349;0.87751475
8361;9;349;0.61205825
8362;10;349;1.27407525
8363;11;349;0.71146375
8364;12;349;0.771863
8365;13;349;0.26937525
8366;14;349;1.18611925
8367;15;349;0.2786045
8368;16;349;0.38721075
8369;17;349;0.62410425
8370;18;349;0.55013825
8371;19;349;0.69787025
8372;20;349;0.81165025
8373;21;349;1.08588025
8374;22;349;1.0434355
8375;23;349;0.38564525
8376;24;349;0.2756875
