hour_of_the_year;hour_of_the_day;day;electricity_consumption
1081;1;46;0.407261
1082;2;46;0.28893325
1083;3;46;0.28973675
1084;4;46;0.27215725
1085;5;46;0.279241
1086;6;46;0.274853
1087;7;46;0.36678675
1088;8;46;0.3970585
1089;9;46;0.451568
1090;10;46;0.5149315
1091;11;46;0.3902325
1092;12;46;0.28127025
1093;13;46;0.2887375
1094;14;46;0.47311475
1095;15;46;0.52628
1096;16;46;0.40217125
1097;17;46;0.2737895
1098;18;46;0.477405
1099;19;46;0.44918375
1100;20;46;0.52627825
1101;21;46;0.61384575
1102;22;46;0.3868945
1103;23;46;0.5200645
1104;24;46;0.289378
