hour_of_the_year;hour_of_the_day;day;electricity_consumption
8305;1;347;0.30528275
8306;2;347;0.2820665
8307;3;347;0.25935975
8308;4;347;0.2714585
8309;5;347;0.31599975
8310;6;347;0.408043
8311;7;347;0.36888075
8312;8;347;0.3765165
8313;9;347;0.4564455
8314;10;347;0.45893475
8315;11;347;0.33877725
8316;12;347;0.646391
8317;13;347;0.69762675
8318;14;347;0.67599375
8319;15;347;0.5780505
8320;16;347;0.63413125
8321;17;347;0.53686375
8322;18;347;0.64238325
8323;19;347;0.62666575
8324;20;347;0.763577
8325;21;347;0.612821
8326;22;347;0.75644075
8327;23;347;0.526813
8328;24;347;0.302278
