hour_of_the_year;hour_of_the_day;day;electricity_consumption
1393;1;59;0.31913275
1394;2;59;0.28569525
1395;3;59;0.3097605
1396;4;59;0.277282
1397;5;59;0.30294725
1398;6;59;0.360629
1399;7;59;0.39517625
1400;8;59;0.94585075
1401;9;59;0.3766245
1402;10;59;0.27532875
1403;11;59;0.75107125
1404;12;59;1.710846
1405;13;59;0.899468
1406;14;59;0.94865725
1407;15;59;0.270197
1408;16;59;0.810235
1409;17;59;0.47822925
1410;18;59;0.4270855
1411;19;59;0.36424075
1412;20;59;0.43209725
1413;21;59;0.59649525
1414;22;59;0.6872105
1415;23;59;0.56947175
1416;24;59;0.2897235
