hour_of_the_year;hour_of_the_day;day;electricity_consumption
6601;1;276;0.19866725
6602;2;276;0.195385
6603;3;276;0.19389925
6604;4;276;0.18085825
6605;5;276;0.18782
6606;6;276;0.264736
6607;7;276;0.35934
6608;8;276;0.2046795
6609;9;276;0.1900415
6610;10;276;0.19319125
6611;11;276;0.23270025
6612;12;276;0.30665625
6613;13;276;0.1982885
6614;14;276;0.19543725
6615;15;276;0.194188
6616;16;276;0.79935475
6617;17;276;0.87399
6618;18;276;0.39845725
6619;19;276;0.31237525
6620;20;276;0.47100825
6621;21;276;0.427189
6622;22;276;0.196619
6623;23;276;0.196609
6624;24;276;0.195753
