hour_of_the_year;hour_of_the_day;day;electricity_consumption
385;1;17;0.306002
386;2;17;0.2740855
387;3;17;0.3082965
388;4;17;0.28784975
389;5;17;0.29013875
390;6;17;0.284153
391;7;17;0.377476
392;8;17;0.416605
393;9;17;0.368406
394;10;17;0.39325625
395;11;17;0.526313
396;12;17;0.4690045
397;13;17;0.29378775
398;14;17;0.2893095
399;15;17;0.38597075
400;16;17;0.5620585
401;17;17;0.49982175
402;18;17;0.406016
403;19;17;0.54737525
404;20;17;0.6929735
405;21;17;0.805334
406;22;17;1.62870225
407;23;17;0.82309525
408;24;17;0.49284425
