hour_of_the_year;hour_of_the_day;day;electricity_consumption
5569;1;233;0.19369575
5570;2;233;0.172546
5571;3;233;0.17096225
5572;4;233;0.198331
5573;5;233;0.199857
5574;6;233;0.19581375
5575;7;233;0.1972255
5576;8;233;0.1949745
5577;9;233;0.1999655
5578;10;233;1.04351525
5579;11;233;1.8126435
5580;12;233;1.06217175
5581;13;233;0.7995085
5582;14;233;0.8177775
5583;15;233;0.45169625
5584;16;233;0.38603275
5585;17;233;0.41389425
5586;18;233;0.56639225
5587;19;233;0.6226675
5588;20;233;0.663517
5589;21;233;0.83698525
5590;22;233;0.7541035
5591;23;233;0.53454675
5592;24;233;0.299476
