hour_of_the_year;hour_of_the_day;day;electricity_consumption
961;1;41;0.42297075
962;2;41;0.3504335
963;3;41;0.28939725
964;4;41;0.29258225
965;5;41;0.46998625
966;6;41;0.3251885
967;7;41;0.2972125
968;8;41;0.2707095
969;9;41;0.4051575
970;10;41;0.362643
971;11;41;0.301699
972;12;41;0.52533875
973;13;41;0.30449225
974;14;41;0.31454825
975;15;41;0.562587
976;16;41;0.5978545
977;17;41;0.706221
978;18;41;0.47691275
979;19;41;0.306438
980;20;41;0.52571725
981;21;41;0.50896025
982;22;41;0.47357575
983;23;41;0.4122625
984;24;41;0.4103205
