hour_of_the_year;hour_of_the_day;day;electricity_consumption
6913;1;289;0.269474
6914;2;289;0.26984175
6915;3;289;0.29051075
6916;4;289;0.3723655
6917;5;289;0.2969475
6918;6;289;0.288083
6919;7;289;0.293604
6920;8;289;0.3831775
6921;9;289;0.29101925
6922;10;289;0.27395625
6923;11;289;0.2746705
6924;12;289;0.42053075
6925;13;289;0.590938
6926;14;289;0.36520225
6927;15;289;0.58369275
6928;16;289;1.33492175
6929;17;289;1.17393225
6930;18;289;0.5365425
6931;19;289;0.49650475
6932;20;289;0.689992
6933;21;289;0.59226075
6934;22;289;0.529821
6935;23;289;0.7805965
6936;24;289;0.505478
