hour_of_the_year;hour_of_the_day;day;electricity_consumption
7609;1;318;0.2926005
7610;2;318;0.292777
7611;3;318;0.2889825
7612;4;318;0.2814145
7613;5;318;0.25027525
7614;6;318;0.284063
7615;7;318;0.39295675
7616;8;318;0.40124425
7617;9;318;0.472935
7618;10;318;0.4476935
7619;11;318;0.429741
7620;12;318;0.410407
7621;13;318;0.30431875
7622;14;318;0.2899385
7623;15;318;0.2836535
7624;16;318;0.31968375
7625;17;318;0.5479485
7626;18;318;0.4269715
7627;19;318;0.483117
7628;20;318;1.1982635
7629;21;318;0.5683755
7630;22;318;0.4403555
7631;23;318;0.37245475
7632;24;318;0.26606675
