hour_of_the_year;hour_of_the_day;day;electricity_consumption
913;1;39;0.40548625
914;2;39;0.312391
915;3;39;0.27961975
916;4;39;0.28004875
917;5;39;0.28139175
918;6;39;0.29436875
919;7;39;0.39966225
920;8;39;0.39133925
921;9;39;0.4575555
922;10;39;0.62951925
923;11;39;1.2371505
924;12;39;1.51320475
925;13;39;1.44257325
926;14;39;0.817518
927;15;39;0.50407125
928;16;39;0.26192475
929;17;39;1.04568175
930;18;39;0.61173725
931;19;39;0.63525425
932;20;39;0.84708675
933;21;39;0.86680025
934;22;39;0.78949225
935;23;39;0.7821075
936;24;39;0.496971
