hour_of_the_year;hour_of_the_day;day;electricity_consumption
4369;1;183;0.19714325
4370;2;183;0.201323
4371;3;183;0.2301185
4372;4;183;0.1971695
4373;5;183;0.192693
4374;6;183;0.168285
4375;7;183;0.1726705
4376;8;183;0.2759185
4377;9;183;0.30341275
4378;10;183;0.18863925
4379;11;183;0.36688775
4380;12;183;0.273493
4381;13;183;0.33787925
4382;14;183;0.742879
4383;15;183;1.1913735
4384;16;183;0.539404
4385;17;183;0.39077
4386;18;183;0.95255525
4387;19;183;0.4178825
4388;20;183;0.50944325
4389;21;183;0.3826835
4390;22;183;0.376721
4391;23;183;0.60603775
4392;24;183;0.53484
