hour_of_the_year;hour_of_the_day;day;electricity_consumption
817;1;35;0.3850415
818;2;35;0.29403775
819;3;35;0.27254125
820;4;35;0.32681625
821;5;35;0.3117165
822;6;35;0.29694625
823;7;35;0.310753
824;8;35;0.3983495
825;9;35;0.36034525
826;10;35;0.508956
827;11;35;0.52362325
828;12;35;0.42483275
829;13;35;0.2899005
830;14;35;1.3866445
831;15;35;0.34391575
832;16;35;0.66619925
833;17;35;0.992283
834;18;35;1.17242275
835;19;35;0.764221
836;20;35;0.27747225
837;21;35;0.4999195
838;22;35;0.82774875
839;23;35;0.95105925
840;24;35;0.9035325
