hour_of_the_year;hour_of_the_day;day;electricity_consumption
937;1;40;0.39365325
938;2;40;0.265272
939;3;40;0.27853225
940;4;40;0.28714075
941;5;40;0.29596875
942;6;40;0.4106995
943;7;40;0.41022
944;8;40;0.39331675
945;9;40;0.44744
946;10;40;0.32182525
947;11;40;0.258151
948;12;40;0.2834125
949;13;40;0.3023265
950;14;40;0.449085
951;15;40;0.4211335
952;16;40;0.32036075
953;17;40;0.5859455
954;18;40;0.80681325
955;19;40;1.04411325
956;20;40;1.0549265
957;21;40;0.9922165
958;22;40;0.87136575
959;23;40;0.622689
960;24;40;0.5326595
