hour_of_the_year;hour_of_the_day;day;electricity_consumption
1969;1;83;0.22462525
1970;2;83;0.19592475
1971;3;83;0.193115
1972;4;83;0.20244475
1973;5;83;0.24068725
1974;6;83;0.22518225
1975;7;83;0.2711575
1976;8;83;0.22739675
1977;9;83;0.1907505
1978;10;83;0.183071
1979;11;83;0.19678325
1980;12;83;0.196993
1981;13;83;0.19313625
1982;14;83;0.423993
1983;15;83;0.86179575
1984;16;83;0.20479325
1985;17;83;0.18070725
1986;18;83;0.192024
1987;19;83;0.20500075
1988;20;83;0.3886805
1989;21;83;0.385577
1990;22;83;0.61321125
1991;23;83;0.394271
1992;24;83;0.3323705
