hour_of_the_year;hour_of_the_day;day;electricity_consumption
4897;1;205;0.25539825
4898;2;205;0.178723
4899;3;205;0.17174175
4900;4;205;0.1843085
4901;5;205;0.201131
4902;6;205;0.2507815
4903;7;205;0.1993785
4904;8;205;0.25080375
4905;9;205;0.22675325
4906;10;205;0.20002
4907;11;205;0.317966
4908;12;205;0.40097225
4909;13;205;0.33938575
4910;14;205;0.3223215
4911;15;205;0.2144065
4912;16;205;0.30089
4913;17;205;0.3576635
4914;18;205;0.46229275
4915;19;205;0.6781695
4916;20;205;0.75401325
4917;21;205;0.516295
4918;22;205;0.440069
4919;23;205;0.38124725
4920;24;205;0.377026
