hour_of_the_year;hour_of_the_day;day;electricity_consumption
1249;1;53;0.2962885
1250;2;53;0.294772
1251;3;53;0.2937875
1252;4;53;0.290895
1253;5;53;0.372183
1254;6;53;0.38540375
1255;7;53;0.49343325
1256;8;53;0.31610875
1257;9;53;0.29754
1258;10;53;0.29397025
1259;11;53;0.2994465
1260;12;53;0.98298425
1261;13;53;0.436152
1262;14;53;0.84999375
1263;15;53;0.7454015
1264;16;53;0.49321925
1265;17;53;0.3105595
1266;18;53;0.73681825
1267;19;53;1.29704
1268;20;53;1.05713675
1269;21;53;1.046719
1270;22;53;0.508995
1271;23;53;0.8560915
1272;24;53;0.46758975
