hour_of_the_year;hour_of_the_day;day;electricity_consumption
505;1;22;0.4185515
506;2;22;0.2730255
507;3;22;0.269567
508;4;22;0.309011
509;5;22;0.30459975
510;6;22;0.280944
511;7;22;0.26078175
512;8;22;0.3590245
513;9;22;0.33430375
514;10;22;0.4313225
515;11;22;1.7378775
516;12;22;1.22422725
517;13;22;0.86205425
518;14;22;0.421389
519;15;22;0.341659
520;16;22;0.528672
521;17;22;0.355999
522;18;22;0.4907515
523;19;22;0.4936255
524;20;22;0.56823425
525;21;22;0.69493775
526;22;22;0.43508525
527;23;22;0.48990375
528;24;22;0.422274
