hour_of_the_year;hour_of_the_day;day;electricity_consumption
4441;1;186;0.18669275
4442;2;186;0.21175225
4443;3;186;0.1780535
4444;4;186;0.189047
4445;5;186;0.2040775
4446;6;186;0.19832525
4447;7;186;0.1971545
4448;8;186;0.28296425
4449;9;186;0.20019
4450;10;186;0.4584525
4451;11;186;0.43723525
4452;12;186;0.16912825
4453;13;186;0.797643
4454;14;186;0.17443325
4455;15;186;0.1854285
4456;16;186;0.36476775
4457;17;186;0.23729475
4458;18;186;0.2126205
4459;19;186;0.6382965
4460;20;186;0.70415625
4461;21;186;0.6589095
4462;22;186;0.44377125
4463;23;186;0.1511455
4464;24;186;0.15856875
