hour_of_the_year;hour_of_the_day;day;electricity_consumption
5113;1;214;0.3459165
5114;2;214;0.19058025
5115;3;214;0.167907
5116;4;214;0.2875655
5117;5;214;0.218473
5118;6;214;0.19381275
5119;7;214;0.1939075
5120;8;214;0.41699325
5121;9;214;0.2865195
5122;10;214;0.19941325
5123;11;214;0.19785725
5124;12;214;0.19391175
5125;13;214;0.19308075
5126;14;214;0.16888525
5127;15;214;0.2448685
5128;16;214;0.4216185
5129;17;214;1.1136215
5130;18;214;1.46602925
5131;19;214;1.446577
5132;20;214;0.7421955
5133;21;214;0.902251
5134;22;214;0.46779825
5135;23;214;0.33393325
5136;24;214;0.24369225
