hour_of_the_year;hour_of_the_day;day;electricity_consumption
5929;1;248;0.45114025
5930;2;248;0.19513675
5931;3;248;0.19592225
5932;4;248;0.196207
5933;5;248;0.22127375
5934;6;248;0.310218
5935;7;248;0.273728
5936;8;248;0.2647585
5937;9;248;0.20251225
5938;10;248;0.86471625
5939;11;248;0.844077
5940;12;248;0.621757
5941;13;248;0.195593
5942;14;248;0.56253225
5943;15;248;0.19197175
5944;16;248;0.17864825
5945;17;248;0.17857675
5946;18;248;0.762147
5947;19;248;0.364581
5948;20;248;0.451524
5949;21;248;0.63103825
5950;22;248;0.4529125
5951;23;248;0.315198
5952;24;248;0.1939
