hour_of_the_year;hour_of_the_day;day;electricity_consumption
7945;1;332;0.291342
7946;2;332;0.28713025
7947;3;332;0.27448125
7948;4;332;0.28825
7949;5;332;0.308756
7950;6;332;0.37164725
7951;7;332;0.3341835
7952;8;332;0.362287
7953;9;332;0.400817
7954;10;332;0.43518225
7955;11;332;0.30406625
7956;12;332;0.2856825
7957;13;332;0.2762805
7958;14;332;0.32231525
7959;15;332;0.36630225
7960;16;332;0.3873025
7961;17;332;0.52195875
7962;18;332;0.5730445
7963;19;332;0.58287725
7964;20;332;0.44701425
7965;21;332;0.52513825
7966;22;332;1.0130035
7967;23;332;0.64326325
7968;24;332;0.27930775
