hour_of_the_year;hour_of_the_day;day;electricity_consumption
8113;1;339;0.29334725
8114;2;339;0.293944
8115;3;339;0.29133575
8116;4;339;0.28833075
8117;5;339;0.28658275
8118;6;339;0.26804625
8119;7;339;0.28267975
8120;8;339;0.36128525
8121;9;339;0.3218255
8122;10;339;1.559671
8123;11;339;0.50390225
8124;12;339;0.5002245
8125;13;339;0.4268195
8126;14;339;0.4604075
8127;15;339;0.28998075
8128;16;339;0.3660695
8129;17;339;0.38184375
8130;18;339;0.69117825
8131;19;339;0.9721775
8132;20;339;0.59660825
8133;21;339;0.8545625
8134;22;339;0.66780825
8135;23;339;0.41604975
8136;24;339;0.4111085
