hour_of_the_year;hour_of_the_day;day;electricity_consumption
2449;1;103;0.2038685
2450;2;103;0.1741575
2451;3;103;0.191123
2452;4;103;0.19709225
2453;5;103;0.20713175
2454;6;103;0.22905
2455;7;103;0.2758125
2456;8;103;0.719778
2457;9;103;0.71616225
2458;10;103;0.43550225
2459;11;103;0.1739775
2460;12;103;0.791578
2461;13;103;1.45545
2462;14;103;0.353044
2463;15;103;0.9972045
2464;16;103;0.4484075
2465;17;103;0.397738
2466;18;103;0.80217975
2467;19;103;1.13809475
2468;20;103;0.966326
2469;21;103;0.42421425
2470;22;103;0.33692675
2471;23;103;0.197976
2472;24;103;0.24915475
