hour_of_the_year;hour_of_the_day;day;electricity_consumption
4705;1;197;0.38422425
4706;2;197;0.32651275
4707;3;197;0.2180895
4708;4;197;0.19590025
4709;5;197;0.19416
4710;6;197;0.6758905
4711;7;197;0.28800525
4712;8;197;0.28629675
4713;9;197;0.25787825
4714;10;197;0.388794
4715;11;197;1.44358175
4716;12;197;0.416981
4717;13;197;0.2963655
4718;14;197;0.40433475
4719;15;197;0.53610675
4720;16;197;0.5992085
4721;17;197;0.8117055
4722;18;197;0.5613855
4723;19;197;0.42774525
4724;20;197;0.47373775
4725;21;197;0.61924725
4726;22;197;0.6150385
4727;23;197;0.50064925
4728;24;197;0.416458
