hour_of_the_year;hour_of_the_day;day;electricity_consumption
433;1;19;0.449906
434;2;19;0.47847575
435;3;19;0.45229925
436;4;19;0.27756875
437;5;19;0.29325525
438;6;19;0.291611
439;7;19;0.309824
440;8;19;0.40450925
441;9;19;0.4007625
442;10;19;0.2894215
443;11;19;0.28189225
444;12;19;0.29512675
445;13;19;0.35597525
446;14;19;0.769844
447;15;19;0.58851475
448;16;19;0.70950975
449;17;19;0.5606685
450;18;19;0.8357685
451;19;19;0.48688225
452;20;19;0.43583675
453;21;19;0.7132845
454;22;19;1.245821
455;23;19;0.51509275
456;24;19;0.41009525
