hour_of_the_year;hour_of_the_day;day;electricity_consumption
3001;1;126;0.172807
3002;2;126;0.19790875
3003;3;126;0.19012975
3004;4;126;0.1969495
3005;5;126;0.1979135
3006;6;126;0.21179275
3007;7;126;0.206125
3008;8;126;0.2695835
3009;9;126;0.41720225
3010;10;126;0.22311425
3011;11;126;0.20135425
3012;12;126;0.18182625
3013;13;126;0.2888295
3014;14;126;0.365129
3015;15;126;0.433912
3016;16;126;0.20696175
3017;17;126;0.19521325
3018;18;126;0.4196245
3019;19;126;0.33168725
3020;20;126;0.40894525
3021;21;126;0.337069
3022;22;126;0.519896
3023;23;126;0.33599375
3024;24;126;0.241871
