hour_of_the_year;hour_of_the_day;day;electricity_consumption
601;1;26;0.42892575
602;2;26;0.33060775
603;3;26;0.2541355
604;4;26;0.28247425
605;5;26;0.29237625
606;6;26;0.28771
607;7;26;0.31039325
608;8;26;0.37438975
609;9;26;0.28710775
610;10;26;0.578207
611;11;26;0.43770525
612;12;26;0.8786935
613;13;26;1.1636525
614;14;26;0.92421625
615;15;26;0.606953
616;16;26;0.28399725
617;17;26;0.43544
618;18;26;0.66953575
619;19;26;0.568456
620;20;26;0.45840325
621;21;26;0.43636525
622;22;26;0.54383275
623;23;26;0.48965425
624;24;26;0.39148225
