hour_of_the_year;hour_of_the_day;day;electricity_consumption
1105;1;47;0.326641
1106;2;47;0.277411
1107;3;47;0.2924735
1108;4;47;0.28434825
1109;5;47;0.30180825
1110;6;47;0.35090325
1111;7;47;0.3401745
1112;8;47;0.29379225
1113;9;47;0.39598475
1114;10;47;0.428604
1115;11;47;0.274717
1116;12;47;0.2677995
1117;13;47;0.27913675
1118;14;47;0.291906
1119;15;47;0.3024225
1120;16;47;0.935237
1121;17;47;1.17308025
1122;18;47;0.648841
1123;19;47;0.4044555
1124;20;47;0.490862
1125;21;47;0.66325325
1126;22;47;0.7228935
1127;23;47;0.73987075
1128;24;47;0.501833
