hour_of_the_year;hour_of_the_day;day;electricity_consumption
4321;1;181;0.84794275
4322;2;181;0.84857675
4323;3;181;0.1936605
4324;4;181;0.196965
4325;5;181;0.17379575
4326;6;181;0.180401
4327;7;181;0.201667
4328;8;181;0.206574
4329;9;181;0.205941
4330;10;181;0.19547925
4331;11;181;0.20092925
4332;12;181;0.84711525
4333;13;181;0.34561525
4334;14;181;0.3531425
4335;15;181;0.90699625
4336;16;181;0.52944775
4337;17;181;0.22639625
4338;18;181;0.20846875
4339;19;181;0.521474
4340;20;181;0.70453075
4341;21;181;0.4582425
4342;22;181;0.56800275
4343;23;181;0.47859975
4344;24;181;0.26386975
