hour_of_the_year;hour_of_the_day;day;electricity_consumption
121;1;6;0.39532075
122;2;6;0.31117025
123;3;6;0.29421625
124;4;6;0.291019
125;5;6;0.29515975
126;6;6;0.2864085
127;7;6;0.2638605
128;8;6;0.3215075
129;9;6;0.375993
130;10;6;0.44182375
131;11;6;0.525039
132;12;6;1.29695025
133;13;6;1.63355275
134;14;6;1.004456
135;15;6;0.38962375
136;16;6;0.369284
137;17;6;0.605879
138;18;6;1.001266
139;19;6;1.48207325
140;20;6;0.66113425
141;21;6;0.500877
142;22;6;0.533469
143;23;6;0.578789
144;24;6;0.409558
