hour_of_the_year;hour_of_the_day;day;electricity_consumption
4993;1;209;0.31584825
4994;2;209;0.22075575
4995;3;209;0.1968385
4996;4;209;0.1856795
4997;5;209;0.1886425
4998;6;209;0.2850285
4999;7;209;0.2040805
5000;8;209;0.22595575
5001;9;209;0.1892305
5002;10;209;0.310998
5003;11;209;0.71339375
5004;12;209;0.2246665
5005;13;209;0.30321625
5006;14;209;0.37772825
5007;15;209;0.36104075
5008;16;209;0.18362675
5009;17;209;0.39144225
5010;18;209;0.416807
5011;19;209;0.45757575
5012;20;209;1.179626
5013;21;209;1.21796525
5014;22;209;0.9180285
5015;23;209;0.615829
5016;24;209;0.35703625
