hour_of_the_year;hour_of_the_day;day;electricity_consumption
6337;1;265;0.21151975
6338;2;265;0.19642875
6339;3;265;0.1960425
6340;4;265;0.1712575
6341;5;265;0.21331
6342;6;265;0.718955
6343;7;265;0.3430015
6344;8;265;0.2048885
6345;9;265;0.1978645
6346;10;265;0.19729625
6347;11;265;0.19515775
6348;12;265;0.18673025
6349;13;265;1.15362025
6350;14;265;1.04800925
6351;15;265;0.333909
6352;16;265;0.419958
6353;17;265;0.3085355
6354;18;265;0.32027575
6355;19;265;0.30879125
6356;20;265;0.88276825
6357;21;265;0.86811925
6358;22;265;0.373631
6359;23;265;0.4759395
6360;24;265;0.2847985
