hour_of_the_year;hour_of_the_day;day;electricity_consumption
3793;1;159;0.19028725
3794;2;159;0.1917495
3795;3;159;0.19739675
3796;4;159;0.239018
3797;5;159;0.3176125
3798;6;159;0.32013025
3799;7;159;0.3160765
3800;8;159;0.29936425
3801;9;159;0.173502
3802;10;159;0.1723545
3803;11;159;0.1924115
3804;12;159;0.33668225
3805;13;159;0.197732
3806;14;159;0.26172
3807;15;159;0.41374525
3808;16;159;0.40101975
3809;17;159;0.41238925
3810;18;159;0.411106
3811;19;159;0.4988125
3812;20;159;0.50248525
3813;21;159;0.51305275
3814;22;159;0.410825
3815;23;159;0.2955375
3816;24;159;0.1950025
