hour_of_the_year;hour_of_the_day;day;electricity_consumption
3505;1;147;0.16587025
3506;2;147;0.16441175
3507;3;147;0.19084825
3508;4;147;0.183997
3509;5;147;0.19410975
3510;6;147;0.1771685
3511;7;147;0.1966105
3512;8;147;0.20004075
3513;9;147;0.231185
3514;10;147;0.170125
3515;11;147;0.17472175
3516;12;147;0.184151
3517;13;147;0.17676375
3518;14;147;0.19229825
3519;15;147;0.20219475
3520;16;147;0.198217
3521;17;147;0.19586625
3522;18;147;0.19314425
3523;19;147;0.1959465
3524;20;147;0.18876425
3525;21;147;0.16792225
3526;22;147;0.1831925
3527;23;147;0.19139525
3528;24;147;0.19519325
