hour_of_the_year;hour_of_the_day;day;electricity_consumption
8161;1;341;0.39102625
8162;2;341;0.2744135
8163;3;341;0.305185
8164;4;341;0.293423
8165;5;341;0.283341
8166;6;341;0.277793
8167;7;341;0.3845745
8168;8;341;0.37611825
8169;9;341;0.3450915
8170;10;341;0.668923
8171;11;341;0.713095
8172;12;341;0.631218
8173;13;341;0.49708475
8174;14;341;0.50128975
8175;15;341;1.38776025
8176;16;341;1.04598025
8177;17;341;0.807296
8178;18;341;0.49861875
8179;19;341;1.5072635
8180;20;341;0.786971
8181;21;341;0.68262475
8182;22;341;0.7130855
8183;23;341;0.47057725
8184;24;341;0.28790075
