hour_of_the_year;hour_of_the_day;day;electricity_consumption
7297;1;305;0.36286325
7298;2;305;0.26723325
7299;3;305;0.2778135
7300;4;305;0.2749875
7301;5;305;0.28045175
7302;6;305;0.288799
7303;7;305;0.28474375
7304;8;305;0.3026575
7305;9;305;0.3558675
7306;10;305;0.30676675
7307;11;305;0.28446225
7308;12;305;0.25762125
7309;13;305;0.27186825
7310;14;305;0.67044975
7311;15;305;0.570571
7312;16;305;0.313048
7313;17;305;0.28446475
7314;18;305;0.55472925
7315;19;305;0.8895875
7316;20;305;0.82697925
7317;21;305;0.49871775
7318;22;305;0.5941185
7319;23;305;0.71054475
7320;24;305;0.28602325
